Time_Point_hpi,Treatment,Cell_ID,RI,Gradient,Blebbing cells number,,,Gradient,Normalized Gradient
4,RV,7,1.34134,0.00354741,,,,0.00354741,1.211556648
4,RV,8,1.34093,0.00337838,,,,0.00337838,1.15382737
4,RV,9,1.34183,0.0040182,,,,0.0040182,1.372346846
4,RV,10,1.33996,0.00253659,,,,0.00253659,0.8663285265
6,RV,1,1.33993,0.00325345,,,,0.00325345,1.111159685
6,RV,2,1.34009,0.00313505,,,,0.00313505,1.070722209
6,RV,3,1.34162,0.00411019,,,,0.00411019,1.403764442
6,RV,4,1.34004,0.00361196,,,,0.00361196,1.233602586
6,RV,5,1.34048,0.002969,,,,0.002969,1.014010697
6,RV,6,1.34,0.00330033,,,,0.00330033,1.127170739
6,RV,7,1.34118,0.00356835,,,,0.00356835,1.218708344
6,RV,8,1.34162,0.00411019,,,,0.00411019,1.403764442
6,RV,9,1.3407,0.00321485,,,,0.00321485,1.097976521
6,RV,10,1.3399,0.00281862,,,,0.00281862,0.9626510044
8,RV,1,1.34118,0.00306884,,,,0.00306884,1.048109326
8,RV,2,1.34122,0.00407844,,,,0.00407844,1.392920778
8,RV,3,1.34169,0.003798,,,,0.003798,1.297141337
8,RV,4,1.33985,0.00335244,,,,0.00335244,1.14496801
8,RV,5,1.33983,0.00312575,,,,0.00312575,1.067545954
8,RV,6,1.34104,0.00405952,,,,0.00405952,1.386458978
8,RV,7,1.34005,0.00313879,,,,0.00313879,1.071999541
8,RV,8,1.34049,0.00309659,,,,0.00309659,1.057586859
8,RV,9,1.34094,0.00315403,,,,0.00315403,1.0772045
8,RV,10,1.34017,0.00325506,,,,0.00325506,1.111709552
0,VACV_H4,1,1.33852,0.00206933,0,,0,0.00206933,1.027302324
0,VACV_H4,2,1.33837,0.00189107,0,,,0.00189107,0.9388065733
0,VACV_H4,3,1.33863,0.00212184,0,,,0.00212184,1.053370494
0,VACV_H4,4,1.33825,0.00159789,0,,,0.00159789,0.7932597077
0,VACV_H4,5,1.33822,0.00162254,0,,,0.00162254,0.805497003
0,VACV_H4,6,1.33877,0.00276418,0,,,0.00276418,1.372255048
0,VACV_H4,7,1.33832,0.00207607,0,,,0.00207607,1.030648343
0,VACV_H4,8,1.33845,0.00208839,0,,,0.00208839,1.036764509
0,VACV_H4,9,1.33838,0.00205152,0,,,0.00205152,1.018460692
0,VACV_H4,10,1.33828,0.00186051,0,,,0.00186051,0.9236353058
2,VACV_H4,1,1.33833,0.00211125,0,,3,0.00211125,1.048113173
2,VACV_H4,2,1.33862,0.00228277,0,,,0.00228277,1.133262905
2,VACV_H4,3,1.33826,0.00236076,1,,,0.00236076,1.171980416
2,VACV_H4,4,1.33827,0.00184864,0,,,0.00184864,0.9177425392
2,VACV_H4,5,1.33826,0.00191214,0,,,0.00191214,0.9492666062
2,VACV_H4,6,1.33842,0.00256152,1,,,0.00256152,1.271646112
2,VACV_H4,7,1.33831,0.00250766,0,,,0.00250766,1.244907746
2,VACV_H4,8,1.33841,0.00264014,0,,,0.00264014,1.310676382
2,VACV_H4,9,1.3384,0.00246938,1,,,0.00246938,1.225903946
2,VACV_H4,10,1.33874,0.00305875,0,,,0.00305875,1.518491968
4,VACV_H4,1,1.33848,0.00229664,1,,9,0.00229664,1.140148555
4,VACV_H4,2,1.3388,0.00256042,1,,,0.00256042,1.271100026
4,VACV_H4,3,1.33842,0.0024636,1,,,0.0024636,1.223034512
4,VACV_H4,4,1.33832,0.0023316,0,,,0.0023316,1.157504168
4,VACV_H4,5,1.33882,0.00279459,1,,,0.00279459,1.387351849
4,VACV_H4,6,1.33877,0.00432526,1,,,0.00432526,2.147240726
4,VACV_H4,7,1.33911,0.00461098,1,,,0.00461098,2.289084134
4,VACV_H4,8,1.33863,0.00229202,1,,,0.00229202,1.137854993
4,VACV_H4,9,1.33665,0.00224341,1,,,0.00224341,1.113722948
